quarter,portfolio_type,weight
2022Q1,Equal_Weight,1.0
2022Q1,ML_Score_Weight,1.0
2022Q1,Market_Cap_Weight,1.0
2022Q2,Equal_Weight,1.0
2022Q2,ML_Score_Weight,1.0
2022Q2,Market_Cap_Weight,1.0
2022Q3,Equal_Weight,1.0
2022Q3,ML_Score_Weight,1.0
2022Q3,Market_Cap_Weight,1.0
2022Q4,Equal_Weight,1.0
2022Q4,ML_Score_Weight,1.0
2022Q4,Market_Cap_Weight,1.0
2023Q1,Equal_Weight,1.0
2023Q1,ML_Score_Weight,1.0
2023Q1,Market_Cap_Weight,1.0
