ticker,sector,industry,earnings_date,sentiment_score,financial_quality_score,valuation_score,leverage_score,forecast_score,risk_score_combined,predicted_return,lower_bound,upper_bound,interval_width,sentiment_pct,financial_pct,forecast_pct,valuation_pct,leverage_pct,risk_pct,overall_score,overall_rank_in_sector,peer_count,rank_percentile,recommendation,sector_avg_sentiment,sector_avg_financial_quality,sector_avg_forecast,sector_avg_risk,sector_avg_overall_score,sentiment_vs_sector,financial_vs_sector,forecast_vs_sector,risk_vs_sector
EGO,Basic Materials,Gold,2022-07-29,0.47121233851990824,0.32627599799999996,-5.115774,-28.789,0.1653071736702196,0.2719493771566228,0.0654024290465569,-0.1162926924256175,0.2793481154552177,0.3956408078808353,0.897196261682243,0.8691588785046729,1.0,0.9252336448598131,0.719626168224299,0.205607476635514,0.8855140186915889,1.0,107,1.0,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,0.1890282095269034,0.18686239026242984,0.052073841248020517,-0.12411228166906002
KGC,Basic Materials,Gold,2022-07-28,0.27552896941183735,0.431222,-7.357651,-8.204,0.1320930936725422,0.4348565009252175,0.0474115000680421,-0.1544354754200955,0.2044884217859223,0.3589238972060179,0.5607476635514018,0.9532710280373832,0.9719626168224299,0.8037383177570093,0.897196261682243,0.6915887850467289,0.7738317757009345,2.0,107,0.9906542056074766,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,-0.006655159581167469,0.2918083922624299,0.03408291226950572,0.038794842099534654
CDE,Basic Materials,Gold,2021-10-28,0.4530403556131447,0.302768004,-7.5332303,-7.426,0.026306235450643145,0.3626522627418272,0.0104200298329058,-0.173299755423342,0.2235777970188133,0.396103940688161,0.8785046728971962,0.8598130841121495,0.43457943925233644,0.794392523364486,0.9158878504672897,0.411214953271028,0.7514018691588786,3.0,107,0.9813084112149533,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,0.17085622662013988,0.16335439626242987,-0.0029085579656305764,-0.033409396083855625
MTX,Basic Materials,Specialty Chemicals,2022-04-29,0.5806352550842265,0.11985999920000001,-10.724596,-54.851,0.07401467539339197,0.3042241451812411,0.0195218950156469,-0.1113579875039158,0.1523980973159119,0.2637560848198277,0.9719626168224299,0.4672897196261682,0.9065420560747663,0.616822429906542,0.5233644859813084,0.2616822429906542,0.7289719626168224,4.0,107,0.9719626168224299,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,0.2984511260912217,-0.0195536085375701,0.006193307217110524,-0.09183751364444176
CBT,Basic Materials,Specialty Chemicals,2022-08-09,0.5524778124118755,0.155857998,-12.098647,-77.712,0.07121555892207215,0.29234915346796947,0.0221221674102048,-0.1543898574418701,0.1562458593802509,0.310635716822121,0.9532710280373832,0.5981308411214953,0.8878504672897196,0.5233644859813084,0.3364485981308411,0.2336448598130841,0.72803738317757,5.0,107,0.9626168224299065,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,0.2702936834188707,0.016444390262429887,0.008793579611668422,-0.10371250535771337
NEM,Basic Materials,Gold,2021-10-29,0.35279113920533245,0.40664800800000006,-8.6476145,-15.762,0.026306235450643145,0.2974019923539454,0.0104200298329058,-0.173299755423342,0.2235777970188133,0.396103940688161,0.7102803738317757,0.9252336448598131,0.43457943925233644,0.7102803738317757,0.8037383177570093,0.2523364485981308,0.7219626168224299,6.0,107,0.9532710280373832,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,0.07060701021232763,0.26723440026242995,-0.0029085579656305764,-0.09865966647173746
AEM,Basic Materials,Gold,2022-04-29,0.27454064871694694,0.427898,-11.036634,-1.215,0.04757043333473587,0.45266670376944584,0.0148697303653904,-0.1194841473948556,0.1930983067174393,0.312582454112295,0.5514018691588785,0.9439252336448598,0.794392523364486,0.5981308411214953,0.9719626168224299,0.7476635514018691,0.7149532710280374,7.0,107,0.9439252336448598,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,-0.007643480276057879,0.2884843922624299,0.0015411425668540226,0.056605044943763005
B,Basic Materials,Gold,2021-10-29,0.4282194899584677,0.361330006,-8.508576,-12.852,0.026306235450643145,0.46500302408945265,0.0104200298329058,-0.173299755423342,0.2235777970188133,0.396103940688161,0.8411214953271028,0.9158878504672897,0.43457943925233644,0.719626168224299,0.8504672897196262,0.8130841121495327,0.7018691588785047,8.0,107,0.9345794392523364,Buy,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,0.14603536096546288,0.22191639826242987,-0.0029085579656305764,0.06894136526376982
SSRM,Basic Materials,Gold,2022-11-08,0.43195518856006826,0.27889400000000003,-5.3069444,-1.545,0.0006419513541196071,0.2342259254592033,0.0002176978838995,-0.146792141601902,0.1923258313583745,0.3391179729602766,0.8504672897196262,0.822429906542056,0.04672897196261682,0.8878504672897196,0.9626168224299065,0.14018691588785046,0.6985981308411217,9.0,107,0.9252336448598131,Hold,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,0.14977105956706344,0.13948039226242992,-0.013110889914636877,-0.16183573336647955
AGI,Basic Materials,Gold,2021-10-28,0.26038612743066936,0.423553999,-10.2393675,-4.768,0.026306235450643145,0.2586394375370777,0.0104200298329058,-0.173299755423342,0.2235777970188133,0.396103940688161,0.4766355140186916,0.9345794392523364,0.43457943925233644,0.6448598130841121,0.9252336448598131,0.14953271028037382,0.6817757009345794,10.0,107,0.9158878504672897,Hold,0.2821841289930048,0.1394136077375701,0.013328587798536377,0.39606165882568284,0.5037383177570093,-0.021798001562335467,0.2841403912624299,-0.0029085579656305764,-0.13742222128860515
KT,Communication Services,Telecom Services,2022-05-12,0.7550511229249091,0.2489019996,-4.6948004,-63.276,0.07104302861599959,0.19699546981367097,0.0190418222954319,-0.1027843538024719,0.1652468890000752,0.2680312428025471,1.0,0.7904761904761904,0.8857142857142857,0.7428571428571429,0.580952380952381,0.23809523809523808,0.8333333333333333,1.0,105,1.0,Buy,0.278602079529016,0.12927689578590476,0.008814639646352842,0.3578756329009985,0.5038095238095238,0.47644904339589306,0.11962510381409525,0.01022718264907906,-0.16088016308732753
NTES,Communication Services,Electronic Gaming & Multimedia,2022-08-18,0.3862829262784419,0.340064002,-11.35219,-6.469,0.04455681523869807,0.2466420117003779,0.014899645688729,-0.107694268805086,0.2267012900357824,0.3343955588408684,0.7523809523809524,0.9333333333333333,0.819047619047619,0.4095238095238095,0.8761904761904762,0.3047619047619048,0.7833333333333333,2.0,105,0.9904761904761905,Buy,0.278602079529016,0.12927689578590476,0.008814639646352842,0.3578756329009985,0.5038095238095238,0.10768084674942591,0.21078710621409522,0.006085006042376159,-0.11123362120062061
