quarter,Equal_Weight,Full_Universe,Long_Short,ML_Optimized,ML_Score_Weight,Market_Cap_Weight
2022Q1,0.0,0.0,0.0,0.0,0.0,0.0
2022Q2,0.0,0.0,0.0,-0.0022748637211601475,0.0,0.0
2022Q3,0.0,-0.03365086001252626,0.0,0.0,0.0,0.0
2022Q4,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,-0.000613977874003413,-0.027805631377060158,0.0,0.0,-0.0016570341201211924,-0.03986727690160319
