Portfolio,Is Main Strategy,Cumulative Return,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Win Rate,Gain Loss Ratio,Omega Ratio,VaR 95,CVaR 95,Average Quarterly Return,Median Quarterly Return,Best Quarter,Worst Quarter,Number of Quarters,Annualized Active Return vs Benchmark,Tracking Error vs Benchmark,Information Ratio vs Benchmark,Annualized Active Return vs Equal Weight,Tracking Error vs Equal Weight,Information Ratio vs Equal Weight,Rank by CAGR,Rank by Sharpe,Rank by Sortino,Rank by Max Drawdown,Rank by Information Ratio
ML_Optimized,True,0.2100826384855845,0.16480177559478681,0.10616696174791575,1.5522887052762644,80.99561516912912,-0.0022748637211601,72.4446805590375,0.8,22.198028657568887,88.79211463027555,-0.0012428583223661799,-0.0022748637211602,0.03994301931527029,0.0047312607484317,0.1098798356216508,-0.0022748637211602,5,0.15272364014598327,0.07769338903671551,1.9657224641572886,0.011923880878499828,0.03882432946385428,0.30712393602576044,2.0,4.0,3.0,4.0,4.0
Long_Short,False,0.30308094887446524,0.23588231113053926,0.06914549542081054,3.4113908606047296,,0.0,,1.0,,,0.02225882053724884,0.021564947820336,0.05482377159532924,0.0463556301381227,0.0994850530838026,0.021564947820336,5,0.21224664926621903,0.09751455818649901,2.176563717391736,0.0714468899987356,0.07522731244821032,0.9497466767528439,1.0,1.0,,1.0,3.0
Equal_Weight,False,0.1954674932713274,0.15353351506073687,0.08011381415835273,1.9164424596894487,279.5795997190169,-0.0006139778740034,250.06359603747978,0.8,75.50118302441608,302.0047320976643,0.00172563628661618,-0.0006139778740032,0.03696204909564534,0.0211458631794138,0.0983291976411853,-0.0006139778740032,5,0.14079975926748345,0.05240384632660104,2.68682108542119,,,,3.0,2.0,1.0,2.0,1.0
ML_Score_Weight,False,0.17896354603793774,0.14077580465409723,0.0811402819728055,1.7349681469098026,94.9842447332308,-0.0016570341201211,84.95649120599218,0.8,25.97475710307883,103.89902841231532,-0.00074456976371784,-0.0016570341201211,0.034101440201303394,0.0230350806430069,0.097255001409653,-0.0016570341201211,5,0.12935732369011568,0.05765650269455157,2.2435860249001838,-0.011442435577367766,0.008158043253347595,-1.4025956006880012,4.0,3.0,2.0,3.0,2.0
Market_Cap_Weight,False,0.08602306113588987,0.0682459080040394,0.12365647187667338,0.5518992008125807,1.4892566337221083,-0.0398672769016031,1.7118276769310816,0.6,1.5045951841392797,2.2568927762089195,-0.0383298734579606,-0.0398672769016031,0.018111205655465278,0.0146317425557934,0.1136350915927351,-0.0398672769016031,5,0.06539638550676322,0.07728152147515693,0.8462098605005552,-0.07540337376072025,0.09032346685173454,-0.834814875789638,5.0,5.0,4.0,6.0,5.0
Full_Universe,False,0.006311454254650961,0.005045984664747927,0.07130216574393204,0.07076902380314233,0.1291854177007318,-0.0336508600125262,0.1499511353608677,0.4,1.710743133202804,1.1404954221352028,-0.03248181428543298,-0.0336508600125262,0.0017621092787744798,-0.0012540671465755,0.0535760451589154,-0.0336508600125262,5,,,,-0.14079975926748345,0.05240384632660104,-2.68682108542119,6.0,6.0,5.0,5.0,
