Target,Baseline_MAE,Model_MAE,Baseline_RMSE,Model_RMSE,R2,Coverage,Best_Params
return_5d,0.08028510335223911,0.08033725831941274,0.11781361021323557,0.1176310443093507,0.0030892589494219136,0.8139946855624446,"{'n_estimators': 300, 'learning_rate': 0.03, 'num_leaves': 15, 'max_depth': 4}"
return_10d,0.09290315518034833,0.09240285656998282,0.1364139452663756,0.13509329644907267,0.01600666404268125,0.8517862415116623,"{'n_estimators': 300, 'learning_rate': 0.03, 'num_leaves': 15, 'max_depth': 4}"
return_20d,0.1137443286739323,0.11148418903756034,0.16284245999875752,0.15984573121023068,0.025935657006349366,0.8576911721287275,"{'n_estimators': 300, 'learning_rate': 0.03, 'num_leaves': 15, 'max_depth': 4}"
